split,galaxy,filename,cut_category,manifest_shell_id,shell_type,shell_ids_for_type,label_pixels,single_label_type_in_patch,max_probability,mean_probability_on_label,integrated_probability_on_label,predicted_pixels,tp_pixels,fp_pixels,fn_pixels,pixel_precision,pixel_recall,dice,patch_hit
val,ngc_2366,ngc_2366__std_000000.npy,centered_positive__shell_major,1,1,1,264,1,0.9835922718048096,0.618588924407959,163.30747985839844,368,200,168,64,0.5434782608695652,0.7575757575757576,0.6329113924050633,1
val,ngc_2366,ngc_2366__std_000001.npy,centered_positive__shell_minor,1,1,1,154,1,0.9898386597633362,0.049405016005039215,7.608372688293457,274,22,252,132,0.08029197080291971,0.14285714285714285,0.102803738317757,1
val,ngc_2366,ngc_2366__std_000002.npy,centered_positive__galaxy_major,1,1,1,168,1,0.9678676128387451,0.04669670760631561,7.8450469970703125,226,22,204,146,0.09734513274336283,0.13095238095238096,0.1116751269035533,1
val,ngc_2366,ngc_2366__std_000003.npy,centered_positive__galaxy_minor,1,1,1,240,1,0.9835070967674255,0.6394723057746887,153.47335815429688,382,180,202,60,0.4712041884816754,0.75,0.5787781350482315,1
val,ngc_2366,ngc_2366__std_000004.npy,spatial_offset_4pix__shell_major,1,1,1,176,1,0.9941261410713196,0.8429765701293945,148.36387634277344,473,166,307,10,0.35095137420718814,0.9431818181818182,0.5115562403697997,1
val,ngc_2366,ngc_2366__std_000005.npy,spatial_offset_4pix__shell_major,1,1,1,192,1,0.9795204401016235,0.7238219380378723,138.97381591796875,373,164,209,28,0.43967828418230565,0.8541666666666666,0.5805309734513274,1
val,ngc_2366,ngc_2366__std_000008.npy,spatial_offset_16pix__shell_major,1,1,9,231,1,0.9951031804084778,0.8307110667228699,191.89425659179688,1034,214,820,17,0.20696324951644102,0.9264069264069265,0.3383399209486166,1
val,ngc_2366,ngc_2366__std_000010.npy,spatial_offset_4pix__shell_minor,1,1,1,144,1,0.9214490056037903,0.006225345656275749,0.8964498043060303,133,0,133,144,0.0,0.0,0.0,1
val,ngc_2366,ngc_2366__std_000011.npy,spatial_offset_4pix__shell_minor,1,1,"1,5",348,1,0.9820715188980103,0.20595476031303406,71.67225646972656,193,92,101,256,0.47668393782383417,0.26436781609195403,0.34011090573012936,1
val,ngc_2366,ngc_2366__std_000012.npy,spatial_offset_8pix__shell_minor,1,1,1,44,1,0.9534531235694885,0.003930017352104187,0.17292076349258423,153,0,153,44,0.0,0.0,0.0,1
val,ngc_2366,ngc_2366__std_000013.npy,spatial_offset_8pix__shell_minor,1,1,"1,5",344,0,0.9963527321815491,0.46308383345603943,159.30084228515625,303,187,116,157,0.6171617161716172,0.5436046511627907,0.5780525502318392,1
val,ngc_2366,ngc_2366__std_000013.npy,spatial_offset_8pix__shell_minor,1,2,11,162,0,0.9963527321815491,0.0041559552773833275,0.673264741897583,303,1,302,161,0.0033003300330033004,0.006172839506172839,0.004301075268817204,1
val,ngc_2366,ngc_2366__std_000014.npy,spatial_offset_16pix__shell_minor,1,3,4,115,1,0.9729249477386475,0.5633295178413391,64.78289794921875,224,84,140,31,0.375,0.7304347826086957,0.49557522123893805,1
val,ngc_2366,ngc_2366__std_000015.npy,spatial_offset_16pix__shell_minor,1,1,5,264,0,0.9991747140884399,0.6183675527572632,163.24903869628906,511,191,320,73,0.37377690802348335,0.7234848484848485,0.49290322580645163,1
val,ngc_2366,ngc_2366__std_000015.npy,spatial_offset_16pix__shell_minor,1,2,11,312,0,0.9991747140884399,0.2362757921218872,73.71804809570312,511,98,413,214,0.1917808219178082,0.3141025641025641,0.23815309842041313,1
val,ngc_2366,ngc_2366__std_000016.npy,angle_offset_-45deg,1,1,1,216,1,0.9971530437469482,0.8494694828987122,183.48541259765625,406,205,201,11,0.5049261083743842,0.9490740740740741,0.6591639871382636,1
val,ngc_2366,ngc_2366__std_000017.npy,angle_offset_-22.5deg,1,1,1,240,1,0.9996474981307983,0.8908442854881287,213.80262756347656,1081,230,851,10,0.2127659574468085,0.9583333333333334,0.34822104466313397,1
val,ngc_2366,ngc_2366__std_000018.npy,angle_offset_+22.5deg,1,1,1,220,1,0.999435544013977,0.6560736298561096,144.33619689941406,999,166,833,54,0.16616616616616617,0.7545454545454545,0.2723543888433142,1
val,ngc_2366,ngc_2366__std_000019.npy,angle_offset_+45deg,1,1,1,216,0,0.9963104128837585,0.004048097413033247,0.8743890523910522,527,0,527,216,0.0,0.0,0.0,1
val,ngc_2366,ngc_2366__std_000019.npy,angle_offset_+45deg,1,2,7,205,0,0.9963104128837585,0.6668746471405029,136.7093048095703,527,158,369,47,0.2998102466793169,0.7707317073170732,0.43169398907103823,1
val,ngc_2366,ngc_2366__std_000020.npy,velocity_offset_-30kms,1,1,1,242,1,0.9889779090881348,0.7367451190948486,178.2923126220703,374,210,164,32,0.5614973262032086,0.8677685950413223,0.6818181818181818,1
val,ngc_2366,ngc_2366__std_000021.npy,velocity_offset_-15kms,1,1,1,242,1,0.9853967428207397,0.7055989503860474,170.75494384765625,361,207,154,35,0.5734072022160664,0.8553719008264463,0.6865671641791045,1
val,ngc_2366,ngc_2366__std_000022.npy,velocity_offset_+15kms,1,1,1,264,1,0.9875229001045227,0.6500239372253418,171.6063232421875,377,206,171,58,0.5464190981432361,0.7803030303030303,0.6427457098283932,1
val,ngc_2366,ngc_2366__std_000023.npy,velocity_offset_+30kms,1,1,1,264,1,0.9886826872825623,0.671453058719635,177.26361083984375,371,212,159,52,0.5714285714285714,0.803030303030303,0.6677165354330709,1
val,ngc_2366,ngc_2366__std_000024.npy,random_nearby_grazing,1,1,1,110,1,0.992996335029602,0.8763144612312317,96.39459228515625,478,106,372,4,0.2217573221757322,0.9636363636363636,0.36054421768707484,1
val,ngc_2366,ngc_2366__std_000025.npy,random_nearby_grazing,1,1,1,110,1,0.9753940105438232,0.7912408113479614,87.03649139404297,402,99,303,11,0.2462686567164179,0.9,0.38671875,1
val,ngc_2366,ngc_2366__std_000026.npy,centered_positive__shell_major,2,1,2,242,1,0.9996010661125183,0.9395099878311157,227.36141967773438,1183,241,942,1,0.2037193575655114,0.9958677685950413,0.33824561403508774,1
val,ngc_2366,ngc_2366__std_000027.npy,centered_positive__shell_minor,2,1,2,144,0,0.9980230331420898,0.9797325134277344,141.08148193359375,852,144,708,0,0.16901408450704225,1.0,0.2891566265060241,1
