review_rank,split,galaxy,filename,cut_category,component_id,probability_mass,max_probability,mean_probability,area_over_beam,velocity_extent_kms,spatial_extent_kpc,edge_touching,velocity_edge_touching,velocity_extent_gt_70kms,review_priority
1,stress,ngc_3031,ngc_3031__std_004574.npy,random_nearby_grazing,1,1285.107177734375,0.9984511733055115,0.8264355063438416,19.19753086419753,62.50000000000001,1.7578125,0,0,0,high_confidence_review
2,stress,ngc_3031,ngc_3031__std_004550.npy,centered_positive__shell_major,1,1273.425537109375,0.9986926913261414,0.8215648531913757,19.135802469135804,64.58333333333334,1.7578125,0,0,0,high_confidence_review
3,stress,ngc_3031,ngc_3031__std_004572.npy,velocity_offset_+15kms,1,1261.643798828125,0.9987317323684692,0.8197815418243408,19.0,64.58333333333334,1.7578125,0,0,0,high_confidence_review
4,stress,ngc_3031,ngc_3031__std_004573.npy,velocity_offset_+30kms,1,1251.439453125,0.9987378120422363,0.8211544752120972,18.814814814814813,64.58333333333334,1.7578125,0,0,0,high_confidence_review
5,stress,ngc_3031,ngc_3031__std_004575.npy,random_nearby_grazing,1,1235.540283203125,0.9987937808036804,0.8160768151283264,18.691358024691358,64.58333333333334,1.7578125,0,0,0,high_confidence_review
6,stress,ngc_3031,ngc_3031__std_005005.npy,spatial_offset_8pix__shell_minor,2,1229.55126953125,0.9984152913093567,0.7856557369232178,19.320987654320987,60.41666666666667,1.796875,0,0,0,high_confidence_review
7,stress,ngc_3031,ngc_3031__std_004571.npy,velocity_offset_-15kms,1,1216.206787109375,0.9975827932357788,0.7990846037864685,18.790123456790123,66.66666666666667,1.7578125,0,0,0,high_confidence_review
8,stress,ngc_3031,ngc_3031__std_005436.npy,centered_positive__galaxy_major,3,1182.723388671875,0.998089611530304,0.8062191009521484,18.11111111111111,60.41666666666667,1.6015625,0,0,0,high_confidence_review
9,stress,ngc_3031,ngc_3031__std_000739.npy,spatial_offset_4pix__shell_minor,4,1089.89111328125,0.9980304837226868,0.8548165559768677,15.74074074074074,60.41666666666667,1.46484375,0,0,0,high_confidence_review
10,stress,ngc_3031,ngc_3031__std_004595.npy,angle_offset_+45deg,1,1072.3160400390625,0.9994789958000183,0.8423535227775574,15.716049382716049,56.25000000000001,1.2890625,0,0,0,high_confidence_review
11,stress,ngc_3031,ngc_3031__std_000741.npy,spatial_offset_8pix__shell_minor,4,1070.9923095703125,0.9970083832740784,0.8595443964004517,15.382716049382717,54.16666666666667,1.4453125,0,0,0,high_confidence_review
12,val,ngc_2366,ngc_2366__std_000266.npy,spatial_offset_8pix__shell_major,2,1042.90185546875,0.9982515573501587,0.8134959936141968,16.227848101265824,37.5,2.01171875,0,0,0,high_confidence_review
13,stress,ngc_3031,ngc_3031__std_005443.npy,spatial_offset_16pix__shell_major,2,1042.529052734375,0.9974705576896667,0.8407492637634277,15.308641975308642,60.41666666666667,1.2109375,0,0,0,high_confidence_review
14,stress,ngc_3031,ngc_3031__std_005004.npy,spatial_offset_8pix__shell_minor,1,1026.184814453125,0.9985964894294739,0.8262357711791992,15.333333333333334,58.333333333333336,1.3671875,0,0,0,high_confidence_review
