galaxy,source_galaxy_name,shell_id,paper_type,paper_type_label,review_hint,ra_deg,dec_deg,velocity_center_kms,diameter_pc,expansion_velocity_kms,position_angle_deg,axis_ratio,galactocentric_radius_kpc,nHI,kinematic_age_myr,log_energy_erg,log_HI_mass,recommended_pv_center_velocity_kms,recommended_pv_spatial_window_kpc,recommended_pv_velocity_window_kms,recommended_major_axis_pa_deg,recommended_minor_axis_pa_deg,generated_patch_count,generated_splits,generated_cut_categories,detected_after_filters,best_split,best_patch_filename,best_cut_category,best_component_id,best_probability_mass,best_max_probability,best_mean_probability,best_area_over_beam,best_velocity_extent_kms,best_spatial_extent_kpc,best_fill_factor,best_probability_mass_density,best_edge_touching,best_velocity_edge_touching,best_velocity_extent_gt_70kms,supporting_candidate_components,supporting_patch_count,overlapping_label_component_count,supporting_cut_categories,candidate_quality_class
ddo53,DDO 53,1,1,type_1_both_sides_stalled_or_no_velocity_caps,Look for a PV cavity/gap where neither side shows a clear expansion cap.,128.54166666666666,66.17722222222223,17.0,363.0,8.0,44.0,0.7,0.4,-0.2,22.0,1.8,1.6,17.0,5.0,200.0,44.0,134.0,20,test,spatial_offset_4pix__shell_major:2;spatial_offset_4pix__shell_minor:2;random_nearby_grazing:2;centered_positive__shell_major:1;centered_positive__shell_minor:1;centered_positive__galaxy_major:1;centered_positive__galaxy_minor:1;spatial_offset_8pix__shell_major:1;spatial_offset_8pix__shell_minor:1;angle_offset_-45deg:1;angle_offset_-22.5deg:1;angle_offset_+22.5deg:1;angle_offset_+45deg:1;velocity_offset_-30kms:1;velocity_offset_-15kms:1;velocity_offset_+15kms:1;velocity_offset_+30kms:1,1,test,ddo53__std_000023.npy,velocity_offset_+30kms,1,487.33563232421875,0.9976304769515991,0.7989108562469482,10.701754385964913,33.333333333333336,0.95703125,0.7780612244897959,0.6216015718421157,0,0,0,57,26,17,random_nearby_grazing:6;spatial_offset_16pix__shell_major:6;spatial_offset_4pix__shell_major:5;spatial_offset_8pix__shell_major:5;spatial_offset_16pix__shell_minor:4;spatial_offset_8pix__shell_minor:3;angle_offset_-45deg:3;angle_offset_+45deg:3;velocity_offset_+30kms:2;spatial_offset_4pix__shell_minor:2;centered_positive__galaxy_minor:2;velocity_offset_-15kms:2;centered_positive__galaxy_major:2;velocity_offset_+15kms:2;velocity_offset_-30kms:2;centered_positive__shell_major:2;angle_offset_+22.5deg:2;centered_positive__shell_minor:2;angle_offset_-22.5deg:2,medium_confidence_review
ddo53,DDO 53,2,2,type_2_one_side_expanding,Look for a cavity with one visible expanding velocity side.,128.54874999999998,66.17847222222223,22.0,309.0,8.0,148.0,0.8,0.6,-0.4,19.0,1.4,1.2,22.0,5.0,200.0,148.0,58.0,20,test,spatial_offset_4pix__shell_major:2;spatial_offset_4pix__shell_minor:2;random_nearby_grazing:2;centered_positive__shell_major:1;centered_positive__shell_minor:1;centered_positive__galaxy_major:1;centered_positive__galaxy_minor:1;spatial_offset_8pix__shell_major:1;spatial_offset_8pix__shell_minor:1;angle_offset_-45deg:1;angle_offset_-22.5deg:1;angle_offset_+22.5deg:1;angle_offset_+45deg:1;velocity_offset_-30kms:1;velocity_offset_-15kms:1;velocity_offset_+15kms:1;velocity_offset_+30kms:1,1,test,ddo53__std_000044.npy,angle_offset_+22.5deg,2,564.066162109375,0.9968466758728027,0.8198636174201965,12.070175438596491,33.333333333333336,1.07421875,0.7818181818181819,0.6409842751242898,0,0,0,62,26,18,spatial_offset_16pix__shell_minor:6;random_nearby_grazing:6;spatial_offset_8pix__shell_minor:5;spatial_offset_4pix__shell_minor:5;spatial_offset_8pix__shell_major:4;spatial_offset_4pix__shell_major:4;spatial_offset_16pix__shell_major:4;centered_positive__galaxy_minor:3;angle_offset_-45deg:3;velocity_offset_+15kms:3;centered_positive__shell_minor:3;angle_offset_+22.5deg:2;velocity_offset_-30kms:2;velocity_offset_-15kms:2;centered_positive__galaxy_major:2;angle_offset_+45deg:2;angle_offset_-22.5deg:2;centered_positive__shell_major:2;velocity_offset_+30kms:2,high_confidence_review
ddo53,DDO 53,3,3,type_3_both_sides_expanding,"Look for both expanding sides, usually the cleanest closed/elliptical PV signature.",128.55083333333334,66.18847222222223,17.0,179.0,10.0,145.0,0.3,1.3,-0.4,9.0,0.7,0.5,17.0,5.0,200.0,145.0,55.0,18,test,random_nearby_grazing:2;centered_positive__shell_major:1;centered_positive__shell_minor:1;centered_positive__galaxy_major:1;centered_positive__galaxy_minor:1;spatial_offset_4pix__shell_major:1;spatial_offset_8pix__shell_major:1;spatial_offset_16pix__shell_major:1;spatial_offset_16pix__shell_minor:1;angle_offset_-45deg:1;angle_offset_-22.5deg:1;angle_offset_+22.5deg:1;angle_offset_+45deg:1;velocity_offset_-30kms:1;velocity_offset_-15kms:1;velocity_offset_+15kms:1;velocity_offset_+30kms:1,1,test,ddo53__std_000061.npy,spatial_offset_16pix__shell_major,1,630.93896484375,0.9973129034042358,0.8619384765625,12.842105263157896,35.41666666666667,1.0546875,0.7973856209150327,0.6872973473243464,1,0,0,47,26,4,spatial_offset_8pix__shell_minor:5;spatial_offset_8pix__shell_major:4;spatial_offset_4pix__shell_major:4;spatial_offset_16pix__shell_minor:4;spatial_offset_4pix__shell_minor:4;random_nearby_grazing:3;spatial_offset_16pix__shell_major:2;centered_positive__galaxy_major:2;angle_offset_-22.5deg:2;velocity_offset_-15kms:2;velocity_offset_-30kms:2;centered_positive__shell_major:2;velocity_offset_+15kms:2;angle_offset_+45deg:2;velocity_offset_+30kms:2;centered_positive__shell_minor:2;angle_offset_+22.5deg:1;angle_offset_-45deg:1;centered_positive__galaxy_minor:1,high_confidence_review
ho_i,Holmberg I,1,1,type_1_both_sides_stalled_or_no_velocity_caps,Look for a PV cavity/gap where neither side shows a clear expansion cap.,145.05666666666664,71.19147222222223,130.0,491.0,6.0,123.0,0.8,1.8,-0.6,40.0,1.6,1.6,130.0,5.0,200.0,123.0,33.0,23,val,spatial_offset_4pix__shell_major:2;spatial_offset_8pix__shell_major:2;spatial_offset_4pix__shell_minor:2;spatial_offset_8pix__shell_minor:2;random_nearby_grazing:2;centered_positive__shell_major:1;centered_positive__shell_minor:1;centered_positive__galaxy_major:1;centered_positive__galaxy_minor:1;spatial_offset_16pix__shell_major:1;angle_offset_-45deg:1;angle_offset_-22.5deg:1;angle_offset_+22.5deg:1;angle_offset_+45deg:1;velocity_offset_-30kms:1;velocity_offset_-15kms:1;velocity_offset_+15kms:1;velocity_offset_+30kms:1,1,val,ho_i__std_000016.npy,angle_offset_-45deg,1,641.622802734375,0.9999929070472717,0.8554970622062683,7.9787234042553195,37.5,1.015625,0.8012820512820513,0.6854944473657852,0,0,0,65,26,32,spatial_offset_8pix__shell_minor:8;spatial_offset_8pix__shell_major:6;spatial_offset_4pix__shell_minor:5;spatial_offset_4pix__shell_major:5;random_nearby_grazing:4;spatial_offset_16pix__shell_major:4;spatial_offset_16pix__shell_minor:4;angle_offset_-45deg:3;angle_offset_+45deg:3;angle_offset_-22.5deg:3;centered_positive__galaxy_minor:3;velocity_offset_+15kms:3;centered_positive__shell_major:3;velocity_offset_+30kms:2;velocity_offset_-15kms:2;velocity_offset_-30kms:2;angle_offset_+22.5deg:2;centered_positive__galaxy_major:2;centered_positive__shell_minor:1,high_confidence_review
ho_i,Holmberg I,2,2,type_2_one_side_expanding,Look for a cavity with one visible expanding velocity side.,145.09208333333333,71.20097222222222,146.0,195.0,16.0,13.0,0.9,1.6,-0.3,6.0,1.3,0.7,146.0,5.0,200.0,13.0,103.0,22,val,spatial_offset_4pix__shell_minor:2;spatial_offset_16pix__shell_minor:2;random_nearby_grazing:2;centered_positive__shell_major:1;centered_positive__shell_minor:1;centered_positive__galaxy_major:1;centered_positive__galaxy_minor:1;spatial_offset_4pix__shell_major:1;spatial_offset_8pix__shell_major:1;spatial_offset_16pix__shell_major:1;spatial_offset_8pix__shell_minor:1;angle_offset_-45deg:1;angle_offset_-22.5deg:1;angle_offset_+22.5deg:1;angle_offset_+45deg:1;velocity_offset_-30kms:1;velocity_offset_-15kms:1;velocity_offset_+15kms:1;velocity_offset_+30kms:1,1,val,ho_i__std_000043.npy,angle_offset_-22.5deg,1,750.998779296875,0.9998898506164551,0.8983238935470581,8.893617021276595,39.583333333333336,1.03515625,0.8301886792452831,0.7457783309800149,0,0,0,84,26,20,random_nearby_grazing:9;spatial_offset_4pix__shell_major:8;spatial_offset_8pix__shell_major:6;spatial_offset_4pix__shell_minor:6;spatial_offset_8pix__shell_minor:6;spatial_offset_16pix__shell_minor:5;spatial_offset_16pix__shell_major:4;centered_positive__shell_major:4;velocity_offset_-15kms:4;velocity_offset_-30kms:4;velocity_offset_+15kms:4;velocity_offset_+30kms:4;angle_offset_+22.5deg:4;centered_positive__shell_minor:4;angle_offset_-22.5deg:3;angle_offset_+45deg:3;centered_positive__galaxy_major:2;angle_offset_-45deg:2;centered_positive__galaxy_minor:2,high_confidence_review
ho_i,Holmberg I,3,3,type_3_both_sides_expanding,"Look for both expanding sides, usually the cleanest closed/elliptical PV signature.",145.11916666666664,71.2021388888889,138.0,363.0,12.0,45.0,1.0,1.4,-0.3,15.0,1.9,1.5,138.0,5.0,200.0,45.0,135.0,21,val,spatial_offset_4pix__shell_major:2;spatial_offset_4pix__shell_minor:2;random_nearby_grazing:2;centered_positive__shell_major:1;centered_positive__shell_minor:1;centered_positive__galaxy_major:1;centered_positive__galaxy_minor:1;spatial_offset_16pix__shell_major:1;spatial_offset_8pix__shell_minor:1;spatial_offset_16pix__shell_minor:1;angle_offset_-45deg:1;angle_offset_-22.5deg:1;angle_offset_+22.5deg:1;angle_offset_+45deg:1;velocity_offset_-30kms:1;velocity_offset_-15kms:1;velocity_offset_+15kms:1;velocity_offset_+30kms:1,1,val,ho_i__std_000060.npy,spatial_offset_16pix__shell_major,1,636.10986328125,0.99998939037323,0.8859468698501587,7.638297872340425,39.583333333333336,0.9375,0.7872807017543859,0.6974888851768092,0,0,0,88,26,21,spatial_offset_16pix__shell_major:8;random_nearby_grazing:8;spatial_offset_4pix__shell_major:8;spatial_offset_8pix__shell_major:7;centered_positive__galaxy_major:5;spatial_offset_8pix__shell_minor:5;spatial_offset_4pix__shell_minor:5;velocity_offset_-30kms:4;velocity_offset_-15kms:4;angle_offset_+22.5deg:4;spatial_offset_16pix__shell_minor:4;centered_positive__shell_major:4;velocity_offset_+15kms:4;velocity_offset_+30kms:4;angle_offset_-45deg:4;angle_offset_-22.5deg:4;angle_offset_+45deg:2;centered_positive__galaxy_minor:2;centered_positive__shell_minor:2,high_confidence_review
ho_i,Holmberg I,4,1,type_1_both_sides_stalled_or_no_velocity_caps,Look for a PV cavity/gap where neither side shows a clear expansion cap.,145.12499999999997,71.18422222222223,135.0,744.0,6.0,4.0,1.0,0.2,-0.4,61.0,2.4,2.8,135.0,5.0,200.0,4.0,94.0,24,val,spatial_offset_4pix__shell_major:2;spatial_offset_8pix__shell_major:2;spatial_offset_4pix__shell_minor:2;spatial_offset_8pix__shell_minor:2;random_nearby_grazing:2;centered_positive__shell_major:1;centered_positive__shell_minor:1;centered_positive__galaxy_major:1;centered_positive__galaxy_minor:1;spatial_offset_16pix__shell_major:1;spatial_offset_16pix__shell_minor:1;angle_offset_-45deg:1;angle_offset_-22.5deg:1;angle_offset_+22.5deg:1;angle_offset_+45deg:1;velocity_offset_-30kms:1;velocity_offset_-15kms:1;velocity_offset_+15kms:1;velocity_offset_+30kms:1,1,val,ho_i__std_000095.npy,angle_offset_-22.5deg,1,753.221923828125,0.9997283816337585,0.8768590688705444,9.138297872340425,39.583333333333336,1.09375,0.8073308270676691,0.7079153419437265,0,0,0,88,26,29,spatial_offset_8pix__shell_major:8;spatial_offset_8pix__shell_minor:8;spatial_offset_4pix__shell_major:8;random_nearby_grazing:7;spatial_offset_16pix__shell_major:7;spatial_offset_4pix__shell_minor:5;spatial_offset_16pix__shell_minor:5;angle_offset_-45deg:4;centered_positive__galaxy_major:4;angle_offset_+22.5deg:4;angle_offset_+45deg:4;centered_positive__galaxy_minor:4;angle_offset_-22.5deg:3;velocity_offset_+15kms:3;velocity_offset_-15kms:3;velocity_offset_-30kms:3;velocity_offset_+30kms:3;centered_positive__shell_major:3;centered_positive__shell_minor:2,high_confidence_review
ho_i,Holmberg I,5,3,type_3_both_sides_expanding,"Look for both expanding sides, usually the cleanest closed/elliptical PV signature.",145.14000000000001,71.21375,153.0,418.0,12.0,45.0,0.6,2.1,-0.6,17.0,1.9,1.4,153.0,5.0,200.0,45.0,135.0,20,val,spatial_offset_4pix__shell_major:2;spatial_offset_4pix__shell_minor:2;spatial_offset_8pix__shell_minor:2;random_nearby_grazing:2;centered_positive__shell_major:1;centered_positive__shell_minor:1;centered_positive__galaxy_major:1;centered_positive__galaxy_minor:1;angle_offset_-45deg:1;angle_offset_-22.5deg:1;angle_offset_+22.5deg:1;angle_offset_+45deg:1;velocity_offset_-30kms:1;velocity_offset_-15kms:1;velocity_offset_+15kms:1;velocity_offset_+30kms:1,1,val,ho_i__std_000121.npy,angle_offset_-22.5deg,1,630.4610595703125,0.9988634586334229,0.8624638319015503,7.776595744680851,35.41666666666667,1.03515625,0.8113207547169812,0.6997348052944645,0,0,0,67,26,9,spatial_offset_8pix__shell_major:8;spatial_offset_16pix__shell_major:6;spatial_offset_4pix__shell_major:6;random_nearby_grazing:6;spatial_offset_8pix__shell_minor:5;centered_positive__galaxy_major:5;angle_offset_-22.5deg:4;spatial_offset_16pix__shell_minor:4;spatial_offset_4pix__shell_minor:3;angle_offset_+45deg:3;velocity_offset_-30kms:2;velocity_offset_-15kms:2;centered_positive__shell_major:2;velocity_offset_+15kms:2;angle_offset_+22.5deg:2;angle_offset_-45deg:2;centered_positive__shell_minor:2;centered_positive__galaxy_minor:2;velocity_offset_+30kms:1,high_confidence_review
ho_i,Holmberg I,6,1,type_1_both_sides_stalled_or_no_velocity_caps,Look for a PV cavity/gap where neither side shows a clear expansion cap.,145.24624999999997,71.21008333333333,138.0,668.0,6.0,45.0,0.8,3.1,-1.4,54.0,1.1,1.1,138.0,5.0,200.0,45.0,135.0,22,val,spatial_offset_4pix__shell_major:2;spatial_offset_8pix__shell_major:2;spatial_offset_4pix__shell_minor:2;spatial_offset_8pix__shell_minor:2;random_nearby_grazing:2;centered_positive__shell_major:1;centered_positive__shell_minor:1;centered_positive__galaxy_major:1;centered_positive__galaxy_minor:1;angle_offset_-45deg:1;angle_offset_-22.5deg:1;angle_offset_+22.5deg:1;angle_offset_+45deg:1;velocity_offset_-30kms:1;velocity_offset_-15kms:1;velocity_offset_+15kms:1;velocity_offset_+30kms:1,1,val,ho_i__std_000154.npy,random_nearby_grazing,1,553.7769165039062,0.9995131492614746,0.8790109753608704,6.702127659574468,39.583333333333336,0.80078125,0.8087291399229781,0.7108817926879413,0,0,0,48,23,18,random_nearby_grazing:6;spatial_offset_4pix__shell_major:6;spatial_offset_8pix__shell_major:5;centered_positive__galaxy_major:3;spatial_offset_16pix__shell_minor:3;spatial_offset_8pix__shell_minor:3;spatial_offset_16pix__shell_major:2;velocity_offset_-15kms:2;velocity_offset_-30kms:2;centered_positive__shell_major:2;velocity_offset_+15kms:2;velocity_offset_+30kms:2;angle_offset_+45deg:2;angle_offset_+22.5deg:2;spatial_offset_4pix__shell_minor:2;angle_offset_-45deg:2;angle_offset_-22.5deg:1;centered_positive__galaxy_minor:1,high_confidence_review
ho_ii,Holmberg II,1,1,type_1_both_sides_stalled_or_no_velocity_caps,Look for a PV cavity/gap where neither side shows a clear expansion cap.,124.59250000000002,70.73697222222222,148.0,1260.0,7.0,162.0,0.5,4.7,-0.9,88.0,2.7,2.8,148.0,5.0,200.0,162.0,72.0,24,test,spatial_offset_4pix__shell_major:2;spatial_offset_8pix__shell_major:2;spatial_offset_4pix__shell_minor:2;spatial_offset_8pix__shell_minor:2;spatial_offset_16pix__shell_minor:2;random_nearby_grazing:2;centered_positive__shell_major:1;centered_positive__shell_minor:1;centered_positive__galaxy_major:1;centered_positive__galaxy_minor:1;angle_offset_-45deg:1;angle_offset_-22.5deg:1;angle_offset_+22.5deg:1;angle_offset_+45deg:1;velocity_offset_-30kms:1;velocity_offset_-15kms:1;velocity_offset_+15kms:1;velocity_offset_+30kms:1,1,test,ho_ii__std_000008.npy,spatial_offset_16pix__shell_major,2,629.4157104492188,0.9984253644943237,0.8681595921516418,8.333333333333334,39.583333333333336,1.015625,0.7338056680161943,0.6370604356773469,0,0,0,86,26,32,spatial_offset_8pix__shell_major:8;random_nearby_grazing:7;spatial_offset_4pix__shell_major:7;spatial_offset_16pix__shell_major:6;angle_offset_-45deg:6;spatial_offset_4pix__shell_minor:5;spatial_offset_8pix__shell_minor:5;angle_offset_-22.5deg:5;centered_positive__galaxy_major:5;spatial_offset_16pix__shell_minor:4;velocity_offset_-30kms:4;velocity_offset_-15kms:4;angle_offset_+22.5deg:3;centered_positive__galaxy_minor:3;angle_offset_+45deg:3;centered_positive__shell_major:3;velocity_offset_+15kms:3;velocity_offset_+30kms:3;centered_positive__shell_minor:2,high_confidence_review
