filename,category,galaxy,patch_id,shell_id,threshold,max_probability,mean_predicted_probability_inside_mask,predicted_mask_area,notes
true_positive_0p075_001_ddo53__cat_T1_S0001_galaxy_major_om0p50.png,true_positive_0p075,ddo53,ddo53__cat_T1_S0001_galaxy_major_om0p50,1,0.075,0.9378384351730347,0.3031631112098694,374,type=catalog_shell; orientation=galaxy_major; offset=-0.5; n_objects=2
true_positive_0p075_002_ddo53__cat_T1_S0001_galaxy_major_op0p00.png,true_positive_0p075,ddo53,ddo53__cat_T1_S0001_galaxy_major_op0p00,1,0.075,0.9815400838851929,0.3476637303829193,388,type=catalog_shell; orientation=galaxy_major; offset=0.0; n_objects=2
true_positive_0p075_003_ddo53__cat_T1_S0001_galaxy_major_op0p50.png,true_positive_0p075,ddo53,ddo53__cat_T1_S0001_galaxy_major_op0p50,1,0.075,0.9461914896965027,0.30194932222366333,365,type=catalog_shell; orientation=galaxy_major; offset=0.5; n_objects=2
true_positive_0p075_004_ddo53__cat_T1_S0001_galaxy_minor_om0p50.png,true_positive_0p075,ddo53,ddo53__cat_T1_S0001_galaxy_minor_om0p50,1,0.075,0.9921334981918335,0.4118402600288391,383,type=catalog_shell; orientation=galaxy_minor; offset=-0.5; n_objects=1
true_positive_0p075_005_ddo53__cat_T1_S0001_galaxy_minor_op0p00.png,true_positive_0p075,ddo53,ddo53__cat_T1_S0001_galaxy_minor_op0p00,1,0.075,0.9922691583633423,0.4134194850921631,404,type=catalog_shell; orientation=galaxy_minor; offset=0.0; n_objects=1
true_positive_0p075_006_ddo53__cat_T1_S0001_galaxy_minor_op0p50.png,true_positive_0p075,ddo53,ddo53__cat_T1_S0001_galaxy_minor_op0p50,1,0.075,0.9827553033828735,0.3944346606731415,413,type=catalog_shell; orientation=galaxy_minor; offset=0.5; n_objects=2
true_positive_0p075_007_ddo53__cat_T1_S0001_shell_major_om0p50.png,true_positive_0p075,ddo53,ddo53__cat_T1_S0001_shell_major_om0p50,1,0.075,0.9918270707130432,0.41675880551338196,383,type=catalog_shell; orientation=shell_major; offset=-0.5; n_objects=1
true_positive_0p075_008_ddo53__cat_T1_S0001_shell_major_op0p00.png,true_positive_0p075,ddo53,ddo53__cat_T1_S0001_shell_major_op0p00,1,0.075,0.9918894171714783,0.4145428240299225,410,type=catalog_shell; orientation=shell_major; offset=0.0; n_objects=1
true_positive_0p075_009_ddo53__cat_T1_S0001_shell_major_op0p50.png,true_positive_0p075,ddo53,ddo53__cat_T1_S0001_shell_major_op0p50,1,0.075,0.9799157381057739,0.3833939731121063,427,type=catalog_shell; orientation=shell_major; offset=0.5; n_objects=2
true_positive_0p075_010_ddo53__cat_T1_S0001_shell_minor_om0p50.png,true_positive_0p075,ddo53,ddo53__cat_T1_S0001_shell_minor_om0p50,1,0.075,0.908396303653717,0.3992849588394165,144,type=catalog_shell; orientation=shell_minor; offset=-0.5; n_objects=1
false_positive_0p075_001_ddo53__grid_xp_-120as.png,false_positive_0p075,ddo53,ddo53__grid_xp_-120as,,0.075,0.45319944620132446,0.23537881672382355,260,type=grid; orientation=None; offset=None; n_objects=0
false_positive_0p075_002_ddo53__grid_xp_-30as.png,false_positive_0p075,ddo53,ddo53__grid_xp_-30as,,0.075,0.1610579788684845,0.10088147222995758,90,type=grid; orientation=None; offset=None; n_objects=0
false_positive_0p075_003_ddo53__grid_xp_-60as.png,false_positive_0p075,ddo53,ddo53__grid_xp_-60as,,0.075,0.309097021818161,0.15210378170013428,34,type=grid; orientation=None; offset=None; n_objects=0
false_positive_0p075_004_ddo53__grid_xp_300as.png,false_positive_0p075,ddo53,ddo53__grid_xp_300as,,0.075,0.1063484251499176,0.09093599021434784,21,type=grid; orientation=None; offset=None; n_objects=0
