split,galaxy,cut_category,threshold,patches,positive_patches,negative_patches,patch_tp,patch_fp,patch_fn,patch_tn,pixel_tp,pixel_fp,pixel_fn,patch_precision,patch_recall,patch_f1,pixel_precision,pixel_recall,pixel_f1
test,ddo53,angle_offset_+22.5deg,0.05,6,6,0,6,0,0,0,558,1538,64,1.0,1.0,1.0,0.26622137404580154,0.8971061093247589,0.4105960264900662
test,ddo53,angle_offset_+22.5deg,0.075,6,6,0,6,0,0,0,554,1460,68,1.0,1.0,1.0,0.27507447864945384,0.8906752411575563,0.4203338391502276
test,ddo53,angle_offset_+45deg,0.05,6,6,0,6,0,0,0,552,1840,56,1.0,1.0,1.0,0.23076923076923078,0.9078947368421053,0.36800000000000005
test,ddo53,angle_offset_+45deg,0.075,6,6,0,6,0,0,0,548,1758,60,1.0,1.0,1.0,0.23764093668690373,0.9013157894736842,0.3761153054221002
test,ddo53,angle_offset_-22.5deg,0.05,6,6,0,6,0,0,0,662,1340,80,1.0,1.0,1.0,0.3306693306693307,0.8921832884097035,0.4825072886297376
test,ddo53,angle_offset_-22.5deg,0.075,6,6,0,6,0,0,0,658,1266,84,1.0,1.0,1.0,0.341995841995842,0.8867924528301887,0.4936234058514629
test,ddo53,angle_offset_-45deg,0.05,6,6,0,6,0,0,0,446,2100,74,1.0,1.0,1.0,0.17517674783974863,0.8576923076923076,0.29093281148075667
test,ddo53,angle_offset_-45deg,0.075,6,6,0,6,0,0,0,440,1994,80,1.0,1.0,1.0,0.18077239112571897,0.8461538461538461,0.2979011509817197
test,ddo53,background_random_negative,0.05,24,0,24,0,6,0,18,0,1368,0,0.0,0.0,0.0,0.0,0.0,0.0
test,ddo53,background_random_negative,0.075,24,0,24,0,6,0,18,0,1302,0,0.0,0.0,0.0,0.0,0.0,0.0
test,ddo53,centered_positive__galaxy_major,0.05,6,6,0,6,0,0,0,604,1296,104,1.0,1.0,1.0,0.3178947368421053,0.8531073446327684,0.4631901840490798
test,ddo53,centered_positive__galaxy_major,0.075,6,6,0,6,0,0,0,600,1208,108,1.0,1.0,1.0,0.33185840707964603,0.847457627118644,0.4769475357710652
test,ddo53,centered_positive__galaxy_minor,0.05,6,6,0,6,0,0,0,442,2784,38,1.0,1.0,1.0,0.1370117792932424,0.9208333333333333,0.23853211009174308
test,ddo53,centered_positive__galaxy_minor,0.075,6,6,0,6,0,0,0,442,2664,38,1.0,1.0,1.0,0.14230521571152607,0.9208333333333333,0.2465142219743447
test,ddo53,centered_positive__shell_major,0.05,6,6,0,6,0,0,0,582,1614,94,1.0,1.0,1.0,0.2650273224043716,0.8609467455621301,0.4052924791086351
test,ddo53,centered_positive__shell_major,0.075,6,6,0,6,0,0,0,574,1540,102,1.0,1.0,1.0,0.271523178807947,0.849112426035503,0.4114695340501792
test,ddo53,centered_positive__shell_minor,0.05,6,6,0,6,0,0,0,444,1320,50,1.0,1.0,1.0,0.25170068027210885,0.8987854251012146,0.3932683790965456
test,ddo53,centered_positive__shell_minor,0.075,6,6,0,6,0,0,0,440,1268,54,1.0,1.0,1.0,0.2576112412177986,0.8906882591093117,0.3996366939146231
test,ddo53,fine_grid_deployment_like,0.05,190,2,188,2,26,0,162,208,3302,112,0.07142857142857142,1.0,0.13333333333333333,0.05925925925925926,0.65,0.10861618798955615
test,ddo53,fine_grid_deployment_like,0.075,190,2,188,2,20,0,168,204,3114,116,0.09090909090909091,1.0,0.16666666666666669,0.06148282097649186,0.6375,0.11214953271028037
test,ddo53,random_nearby_grazing,0.05,12,12,0,12,0,0,0,680,4338,8,1.0,1.0,1.0,0.13551215623754484,0.9883720930232558,0.23834560112162637
test,ddo53,random_nearby_grazing,0.075,12,12,0,12,0,0,0,678,4170,10,1.0,1.0,1.0,0.13985148514851486,0.9854651162790697,0.24494219653179192
test,ddo53,spatial_offset_16pix__shell_major,0.05,12,2,10,2,10,0,0,104,2634,0,0.16666666666666666,1.0,0.2857142857142857,0.03798392987582177,1.0,0.07318789584799437
test,ddo53,spatial_offset_16pix__shell_major,0.075,12,2,10,2,10,0,0,104,2480,0,0.16666666666666666,1.0,0.2857142857142857,0.04024767801857585,1.0,0.07738095238095238
test,ddo53,spatial_offset_16pix__shell_minor,0.05,12,2,10,2,10,0,0,40,4132,26,0.16666666666666666,1.0,0.2857142857142857,0.009587727708533078,0.6060606060606061,0.018876828692779613
test,ddo53,spatial_offset_16pix__shell_minor,0.075,12,2,10,2,10,0,0,34,3936,32,0.16666666666666666,1.0,0.2857142857142857,0.008564231738035265,0.5151515151515151,0.016848364717542124
test,ddo53,spatial_offset_4pix__shell_major,0.05,12,10,2,10,2,0,0,862,4406,26,0.8333333333333334,1.0,0.9090909090909091,0.16362946089597571,0.9707207207207207,0.2800519818063678
test,ddo53,spatial_offset_4pix__shell_major,0.075,12,10,2,10,2,0,0,860,4252,28,0.8333333333333334,1.0,0.9090909090909091,0.16823161189358374,0.9684684684684685,0.2866666666666667
test,ddo53,spatial_offset_4pix__shell_minor,0.05,12,8,4,8,4,0,0,642,2158,180,0.6666666666666666,1.0,0.8,0.2292857142857143,0.781021897810219,0.35450027609055773
test,ddo53,spatial_offset_4pix__shell_minor,0.075,12,8,4,8,4,0,0,632,2030,190,0.6666666666666666,1.0,0.8,0.23741547708489857,0.7688564476885644,0.36280137772675086
test,ddo53,spatial_offset_8pix__shell_major,0.05,12,6,6,6,6,0,0,570,4128,2,0.5,1.0,0.6666666666666666,0.12132822477650064,0.9965034965034965,0.21631878557874765
test,ddo53,spatial_offset_8pix__shell_major,0.075,12,6,6,6,6,0,0,570,3978,2,0.5,1.0,0.6666666666666666,0.12532981530343007,0.9965034965034965,0.22265624999999997
test,ddo53,spatial_offset_8pix__shell_minor,0.05,12,4,8,4,8,0,0,264,3060,12,0.3333333333333333,1.0,0.5,0.07942238267148015,0.9565217391304348,0.14666666666666667
test,ddo53,spatial_offset_8pix__shell_minor,0.075,12,4,8,4,8,0,0,264,2880,12,0.3333333333333333,1.0,0.5,0.08396946564885496,0.9565217391304348,0.1543859649122807
test,ddo53,velocity_offset_+15kms,0.05,6,6,0,6,0,0,0,582,1614,94,1.0,1.0,1.0,0.2650273224043716,0.8609467455621301,0.4052924791086351
test,ddo53,velocity_offset_+15kms,0.075,6,6,0,6,0,0,0,574,1540,102,1.0,1.0,1.0,0.271523178807947,0.849112426035503,0.4114695340501792
test,ddo53,velocity_offset_+30kms,0.05,6,6,0,6,0,0,0,582,1614,94,1.0,1.0,1.0,0.2650273224043716,0.8609467455621301,0.4052924791086351
test,ddo53,velocity_offset_+30kms,0.075,6,6,0,6,0,0,0,574,1540,102,1.0,1.0,1.0,0.271523178807947,0.849112426035503,0.4114695340501792
test,ddo53,velocity_offset_-15kms,0.05,6,6,0,6,0,0,0,582,1614,94,1.0,1.0,1.0,0.2650273224043716,0.8609467455621301,0.4052924791086351
test,ddo53,velocity_offset_-15kms,0.075,6,6,0,6,0,0,0,574,1540,102,1.0,1.0,1.0,0.271523178807947,0.849112426035503,0.4114695340501792
test,ddo53,velocity_offset_-30kms,0.05,6,6,0,6,0,0,0,582,1614,94,1.0,1.0,1.0,0.2650273224043716,0.8609467455621301,0.4052924791086351
test,ddo53,velocity_offset_-30kms,0.075,6,6,0,6,0,0,0,574,1540,102,1.0,1.0,1.0,0.271523178807947,0.849112426035503,0.4114695340501792
test,ho_ii,angle_offset_+22.5deg,0.05,80,80,0,80,0,0,0,28750,49702,15490,1.0,1.0,1.0,0.36646611941059504,0.6498643761301989,0.468653212923418
test,ho_ii,angle_offset_+22.5deg,0.075,80,80,0,80,0,0,0,28406,48318,15834,1.0,1.0,1.0,0.3702361712110943,0.6420886075949367,0.46966039482821337
test,ho_ii,angle_offset_+45deg,0.05,80,80,0,80,0,0,0,26812,45748,18856,1.0,1.0,1.0,0.3695148842337376,0.5871069457826049,0.4535642994891227
test,ho_ii,angle_offset_+45deg,0.075,80,80,0,80,0,0,0,26556,44294,19112,1.0,1.0,1.0,0.3748200423429781,0.5815012700359113,0.45582656756895934
test,ho_ii,angle_offset_-22.5deg,0.05,80,80,0,80,0,0,0,30832,48694,18936,1.0,1.0,1.0,0.387697105349194,0.6195145475004019,0.4769285504354417
test,ho_ii,angle_offset_-22.5deg,0.075,80,80,0,80,0,0,0,30524,47138,19244,1.0,1.0,1.0,0.39303649146300634,0.6133258318598296,0.4790708624342777
test,ho_ii,angle_offset_-45deg,0.05,80,80,0,80,0,0,0,29800,51286,18384,1.0,1.0,1.0,0.36751103766371507,0.6184625601859538,0.46105051442716793
test,ho_ii,angle_offset_-45deg,0.075,80,80,0,80,0,0,0,29474,49830,18710,1.0,1.0,1.0,0.37165842832644,0.6116968288228457,0.46238077309236947
test,ho_ii,background_random_negative,0.05,320,36,284,36,96,0,188,3546,23404,2654,0.2727272727272727,1.0,0.42857142857142855,0.13157699443413728,0.5719354838709677,0.21393665158371042
test,ho_ii,background_random_negative,0.075,320,36,284,36,92,0,192,3476,22272,2724,0.28125,1.0,0.43902439024390244,0.13500077675935995,0.5606451612903226,0.2176036058595217
test,ho_ii,centered_positive__galaxy_major,0.05,80,80,0,80,0,0,0,26048,49072,19564,1.0,1.0,1.0,0.346751863684771,0.5710777865473998,0.4315011761587649
test,ho_ii,centered_positive__galaxy_major,0.075,80,80,0,80,0,0,0,25686,47546,19926,1.0,1.0,1.0,0.35074830675114704,0.5631412786108919,0.4322641445929117
test,ho_ii,centered_positive__galaxy_minor,0.05,80,80,0,80,0,0,0,24820,46162,19218,1.0,1.0,1.0,0.3496661125355724,0.5636041600435987,0.43157711702312646
test,ho_ii,centered_positive__galaxy_minor,0.075,80,80,0,80,0,0,0,24480,44652,19558,1.0,1.0,1.0,0.3541051900711682,0.5558835551114946,0.43262348678978524
test,ho_ii,centered_positive__shell_major,0.05,80,80,0,80,0,0,0,28910,47070,18462,1.0,1.0,1.0,0.38049486707028163,0.6102761124715022,0.46873986639859905
test,ho_ii,centered_positive__shell_major,0.075,80,80,0,80,0,0,0,28602,45566,18770,1.0,1.0,1.0,0.3856380110020494,0.6037743814911762,0.4706598650649992
