split,cut_category,threshold,patches,positive_patches,negative_patches,patch_tp,patch_fp,patch_fn,patch_tn,pixel_tp,pixel_fp,pixel_fn,patch_precision,patch_recall,patch_f1,pixel_precision,pixel_recall,pixel_f1
test,angle_offset_+22.5deg,0.05,220,220,0,220,0,0,0,47606,98838,19182,1.0,1.0,1.0,0.3250798940209227,0.7127927172545966,0.4465183462144519
test,angle_offset_+22.5deg,0.075,220,220,0,220,0,0,0,47106,95594,19682,1.0,1.0,1.0,0.3301051156271899,0.7053063424567287,0.4497250439165967
test,angle_offset_+45deg,0.05,220,220,0,220,0,0,0,43656,102432,22368,1.0,1.0,1.0,0.2988335797601446,0.6612141039621956,0.41163159085766016
test,angle_offset_+45deg,0.075,220,220,0,220,0,0,0,43286,99086,22738,1.0,1.0,1.0,0.3040345011659596,0.6556100811826002,0.4154206414710455
test,angle_offset_-22.5deg,0.05,220,220,0,220,0,0,0,49486,105776,21896,1.0,1.0,1.0,0.3187257667684301,0.6932560029138999,0.4366848449550838
test,angle_offset_-22.5deg,0.075,220,220,0,220,0,0,0,49080,102088,22302,1.0,1.0,1.0,0.3246718882303133,0.6875682945280323,0.4410694226016625
test,angle_offset_-45deg,0.05,220,220,0,220,0,0,0,48222,112460,20930,1.0,1.0,1.0,0.30010828842060716,0.6973334104581213,0.4196245986233542
test,angle_offset_-45deg,0.075,220,220,0,220,0,0,0,47788,108822,21364,1.0,1.0,1.0,0.30514015707809206,0.6910573808422027,0.4233484820297481
test,background_random_negative,0.05,880,50,830,50,230,0,600,4592,55772,3466,0.17857142857142858,1.0,0.30303030303030304,0.07607183089258499,0.5698684537105981,0.13422583379614744
test,background_random_negative,0.075,880,50,830,50,222,0,608,4518,53198,3540,0.18382352941176472,1.0,0.31055900621118016,0.07827985307367108,0.5606850335070737,0.1373795116611427
test,centered_positive__galaxy_major,0.05,220,220,0,220,0,0,0,44282,107954,23028,1.0,1.0,1.0,0.2908773220526025,0.6578814440647749,0.40339609922294184
test,centered_positive__galaxy_major,0.075,220,220,0,220,0,0,0,43828,104428,23482,1.0,1.0,1.0,0.29562378588387656,0.6511365324617442,0.4066318436117013
test,centered_positive__galaxy_minor,0.05,220,220,0,220,0,0,0,42652,98378,22144,1.0,1.0,1.0,0.30243210664397646,0.658250509290697,0.41444715439254515
test,centered_positive__galaxy_minor,0.075,220,220,0,220,0,0,0,42160,94886,22636,1.0,1.0,1.0,0.3076339331319411,0.6506574479906168,0.4177524994797911
test,centered_positive__shell_major,0.05,220,220,0,220,0,0,0,49698,98558,22392,1.0,1.0,1.0,0.33521746168789124,0.6893882646691636,0.451090557577628
test,centered_positive__shell_major,0.075,220,220,0,220,0,0,0,49286,95134,22804,1.0,1.0,1.0,0.34126852236532335,0.6836731862949091,0.45527689252228537
